game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Observation₹745,Observation,₹745,No Code,PuzzleNarrationAdventure,Controller SupportSingle Player,Devolver Digital,05/21/19,"Windows 7, 8, 8.1, 10 x64",Intel Core i5-6600K (4 * 3500) or equivalent | AMD Ryzen 3 2200G (4 * 3500) or equivalent,,GeForce GTX 960 (4096 MB) | Radeon RX 570 (8192 MB),8 GB,73%,Strong,PlatformWindowsWindows,76
Time Loader₹628,Time Loader,₹628,Flazm,Actioner,Single Player,META Publishing,11/03/21,Windows 10,Intel(R) Сore (TM) i5-4440,10,GeForce GTX1050 Ti,16 GB,,,PlatformWindowsWindows,
Hello Neighbor₹670,Hello Neighbor,₹670,Dynamic Pixels,HorrorIndieStealth,Single Player,tinyBuild,12/08/18,Windows 10,i7,11,GTX 1060,8Gb,,,PlatformWindowsWindows,
"Ancestors: The Humankind Odyssey₹1,990",Ancestors: The Humankind Odyssey,"₹1,990",Panache Digital Games,ExplorationSurvivalOpen World,Controller SupportSingle Player,Private Division,08/27/19,Windows 10 64-bit,GeForce GTX 980 (4GB) or Radeon RX 480 (8GB),,Intel Core i7-4770K or AMD Ryzen 5 1600,8 GB,34%,Fair,PlatformWindowsWindows,67
Manifold Garden₹595,Manifold Garden,₹595,William Chyr Studio,ExplorationPuzzleAdventure,Controller SupportSingle Player,William Chyr Studio,10/18/19,"Win 7, 8, 10",Nvidia 1070,,"Intel Core i7-4790k,4.00 GHz",8GB,89%,Strong,PlatformWindowsWindows,82
Asemblance₹189,Asemblance,₹189,Nilo Studios,Indie,Single Player,Nilo Studios,06/25/21,Windows 7 / Windows 8 / Windows 10,Core i5 processor or equivalent,,Intel HD4400 / AMD Radeon 5750 1Gb VRAM / NVidia Geforce 640 1Gb VRAM or better,8 GB RAM,24%,Weak,Windows,58
City of Brass₹521,City of Brass,₹521,Uppercut Games,ActionFirst PersonRogue-Lite,Controller SupportSingle Player,Uppercut Games,05/04/18,Requires a 64-bit processor and operating system,Windows 10 64bit,,Intel i7 2.5 GHz,8 GB RAM,31%,Fair,PlatformWindowsWindows,69
Sunblaze₹349,Sunblaze,₹349,Games From Earth,PuzzleerIndie,Controller Support,Bonus Stage Publishing,10/14/21,Windows 10,,2GB RAM,Intel HD 4000,500 MB,82%,Fair,Windows,73
Farming Simulator 19₹799,Farming Simulator 19,₹799,Giants Software GmbH,Simulation,MultiplayerSingle Player,Giants Software GmbH,07/20/20,"64-bit Windows 7, Windows 8, Windows 10",,,"Nvidia Geforce GTX 650, AMD Radeon HD 7770 graphics card or better (min. 2 GB VRAM, DX11 support)",Farming Simulator 19 - GRIMME Equipment Pack,50%,Fair,PlatformWindowsWindows,70
The First Tree₹239,The First Tree,₹239,David Wehle,ExplorationAdventureIndie,Controller Support,David Wehle,04/15/21,Windows 10  (64-bit only),3.0GHz CPU,,Geforce GTX 750 / Radeon R7 260X with 1GB Memory,8 GB,77%,Strong,Windows,80
GoNNER₹372,GoNNER,₹372,Art in Heart,er,,Raw Fury,02/27/20,Windows Vista,,2 GB RAM,,Version 10,52%,Strong,PlatformWindowsWindows,75
"Mutant Year Zero: Road to Eden₹1,043",Mutant Year Zero: Road to Eden,,The Bearded Ladies,Turn-BasedRPGStrategy,Single Player,Funcom,12/04/18,Windows 7 64 Bit/ Windows 8 64 Bit/ Windows 10 64 Bit,,6 GB RAM,,NVidia GTX 580 / AMD Radeon HD 7870,66%,Strong,PlatformWindowsWindows,78
Mutazione₹521,Mutazione,₹521,Die Gute Fabrik,Adventure,,Akupara Games,03/04/20,Windows 7,,4 GB RAM,,3 GB available space,80%,Strong,PlatformWindowsWindowsMac OSMac OS,76
What Remains of Edith Finch₹595,What Remains of Edith Finch,₹595,Giant Sparrow,First PersonPuzzleNarration,Controller SupportSingle Player,Annapurna Interactive,04/25/17,Windows Vista SP2 64-bit or later,,2 GB RAM,,GeForce GTX 750/AMD Radeon 7790 or later,91%,Mighty,PlatformWindowsWindows,88
Hell is other demons₹239,Hell is other demons,₹239,Cuddle Monster Games,ShooterRogue-Liteer,Single Player,Kongregate,06/17/21,Windows 10,Requires a 64-bit processor and operating system,,Nvidia 450 GTS / Radeon HD 5750 or better,8 GB RAM,75%,Strong,Windows,78
Hob₹521,Hob,₹521,Runic Games,ActionExplorationAction-AdventureAdventure,Single Player,Perfect World Entertainment,04/02/20,Windows 7 SP1 / 8.1 / 10,,4 GB,,2GB of VRAM; NVIDIA GeForce GTX 500 Series / AMD Radeon HD 7000 Series,63%,Strong,PlatformWindowsWindows,76
Trials Evolution: Gold Edition₹999,Trials Evolution: Gold Edition,₹999,Ubisoft,Racing,,Ubisoft,02/11/21,Windows 7 64-bit / Windows 8,Quad-core Intel or AMD CPU,,DirectX 9.0c-compliant,4 GB recommended,,,Windows,
Animation Throwdown: The Quest for CardsFree,Animation Throwdown: The Quest for Cards,Free,Kongregate,StrategyAdventureCard Game,Single Player,Kongregate,10/04/21,Windows 10,Core i5 or Core i7,,GTX 400 Series or Better,4 GB RAM,,,Windows,
TowerFall Ascension₹595,TowerFall Ascension,₹595,Matt Makes Games,,Controller SupportCo-opMultiplayerSingle Player,Matt Makes Games,12/31/19,Windows Vista or newer,,2 GB RAM,,Intel HD 4000,75%,Mighty,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,84
Scott Pilgrim vs. The World: The Game – Complete Edition₹749,Scott Pilgrim vs. The World: The Game – Complete Edition,₹749,Ubisoft,ActionFighting,,Ubisoft,01/14/21,Windows 10,,,Nvidia GTX 660 - 2GB / AMD 270x - 2GB / Intel UHD 630,DirectX 11,,,PlatformWindowsWindows,
The World Next Door₹239,The World Next Door,₹239,Rose City Games,ActionAdventureIndie,Single Player,VIZ Media,11/19/20,Windows 7 64 bit,Intel H81 core i3 4130T 2.90GHZ (dual core),4 GB RAM,,2 GB available space,,,PlatformWindowsWindowsMac OSMac OS,
Lake₹529,Lake,₹529,Gamious,AdventureIndie,Single PlayerController Support,Whitethorn Games,09/01/21,,,,,,42%,Fair,PlatformWindowsWindows,69
Assassin's Creed® I: Director's Cut₹499,Assassin's Creed® I: Director's Cut,₹499,Ubisoft,Action-Adventure,,Ubisoft,04/09/08,Vista,Intel Core 2 Duo 2.2 GHz | AMD Athlon 64 X2 4400+ 2.3 GHz,,Nvidia GeForce 9600 GT ATI Radeon HD 3800 series 512 MB of VRAM DirectX 10 compatible,2 GB,,,PlatformWindowsWindows,
Lifeless Planet: Premier Edition₹484,Lifeless Planet: Premier Edition,₹484,Stage 2 Studios,ActionAdventureIndie,,Serenity Forge,07/09/20,Windows 7,Intel Core i3 or faster,,NVIDIA Geforce GT 640 or faster,3000 MB RAM,,,PlatformWindowsWindows,
Primordials: Battle of GodsFree,Primordials: Battle of Gods,Free,GLOBAL DODO ENTERTAINMENT d.o.o.,ActionStrategy,Multiplayer,WIREGAMES d.o.o.,03/04/21,Windows 7 or newer,Intel(R) Core(TM) i7-4770K / AMD Ryzen 5 1500x,,Nvidia GeForce GTX 1050 4GB / AMD Radeon RX 570 4GB,4GB,,,PlatformWindowsWindows,
Those Who Remain₹469,Those Who Remain,₹469,Camel 101,HorrorAdventureIndie,Single Player,Wired Productions,11/02/21,Windows 7 64-bit,Core i5 / AMD FX 2.4Ghz,,NVIDIA GeForce GTX 480 / AMD Radeon HD 5970. OpenGL 3.3,8 GB,21%,Weak,Windows,51
Might & Magic: Chess RoyaleFree,Might & Magic: Chess Royale,Free,Ubisoft,Strategy,,Ubisoft,05/05/20,"Windows 7, Windows 8 or Windows 10 (64-bit versions only)",Intel Core i3-2120 @ 3.3 GHz or AMD FX-4320 @ 4.0 GHz,,"NVIDIA GeForce GTX 650Ti or AMD Radeon HD 7770 (1 GB, with Shader Model 5.0)",4 GB,0%,Fair,PlatformWindowsWindows,69
Open Country₹829,Open Country,₹829,FunLabs,,Single Player,505 Games,06/10/21,"OS: Windows 7,8,10","Intel Core i5-750, 2.67 GHz",,NVIDIA GeForce GTX 660 | AMD Radeon HD 7950,,,,PlatformWindowsWindows,
Ghostbusters: The Video Game Remastered₹745,Ghostbusters: The Video Game Remastered,₹745,Saber Interactive,ActionAdventure,Single Player,Mad Dog Games,10/04/19,Windows 10,Intel Core i5-4690,,NVIDIA GeForce GTX 670,6GB Ram,49%,Fair,PlatformWindowsWindows,69
"Anno 2205 - Standard Edition₹1,999",Anno 2205,"₹1,999",Blue Byte,Turn-BasedCity BuilderStrategy,MultiplayerSingle Player,Ubisoft,02/19/20,"Windows 7 SP1, Windows 8, Windows 10 (64 bit versions only)",Intel Core i5 2400s @ 2.5 GHz or AMD FX 4100 @ 3.6,,"nVidia GeForce GTX 680 or AMD Radeon HD7970 or better (2048MB VRAM or more, with Shader Model 5.0)",8 GB RAM,34%,Fair,PlatformWindowsWindows,69
"Assassin's Creed Syndicate Standard Edition₹1,999",Assassin's Creed Syndicate,"₹1,999",Ubisoft,ActionOpen WorldStealth,Controller SupportSingle Player,Ubisoft,02/20/20,Windows 7 SP1 or Windows 8.1 or Windows 10 (64bit versions),Intel Core i7 3770 @ 3.5 GHz / AMD FX 8350 @ 4.0 GHz,,NVIDIA GeForce GTX 760 (4GB) or the newer GTX 970 (4GB) / AMD Radeon R9 280X (3GB of VRAM) or better,8 GB RAM,63%,Strong,Windows,77
Trials Rising Standard Edition₹999,Trials Rising,₹999,Ubisoft | RedLynx,ActionRacing,Single Player,Ubisoft,02/26/19,Windows 7/10 (64 bit only),"Intel Core i5 3470, AMD FX 6100",,NVIDIA GeForce GTX 760 or AMD Radeon R9 270X,22 GB,81%,Strong,PlatformWindowsWindows,80
Anno 1701 History Edition₹499,Anno 1701 History Edition,₹499,Ubisoft Blue Byte,City BuilderStrategy,,Ubisoft,06/25/20,Windows® 10,"Intel Core i5-4460 @ 3.2 Ghz | AMD Ryzen 5 1600 @ 3.2 Ghz, or better",,"NVIDIA GeForce GTX 770 with 4 GB VRAM | AMD Radeon RX 470 with 4 GB VRAM, or better",4 GB RAM,,,PlatformWindowsWindows,
Anno 1404 History Edition₹749,Anno 1404 History Edition,₹749,Ubisoft Blue Byte,City BuilderStrategy,,Ubisoft,06/25/20,Windows® 10,"Intel Core i5-4460 @ 3.2 Ghz | AMD Ryzen 5 1600 @ 3.2 Ghz, or better",,"NVIDIA GeForce GTX 770 with 4 GB VRAM | AMD Radeon RX 470 with 4 GB VRAM, or better",4 GB RAM,,,PlatformWindowsWindows,
"Far Cry New Dawn Standard Edition₹2,249",Far Cry New Dawn,"₹2,249",Ubisoft,ActionFirst PersonShooterOpen World,Co-opSingle Player,Ubisoft,02/15/19,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)",Intel Core i7-4790 @ 3.6 GHz or AMD Ryzen 5 1600 @ 3.2 GHz,,NVIDIA GeForce GTX 970 (4GB) or AMD Radeon R9 290X (4GB) or better,8 GB RAM,54%,Fair,Windows,73
"Far Cry 5 Standard Edition₹2,999",Far Cry 5,"₹2,999","Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev",ActionShooterOpen WorldAdventure,Co-opSingle Player,Ubisoft,03/27/18,Windows 7 SP1 | Windows 8.1 | Windows 10 | 64-bit only,Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,,NVIDIA GeForce GTX 970 | AMD R9 290X,8 GB RAM,81%,Strong,PlatformWindowsWindows,82
Among Trees₹349,Among Trees,₹349,FJRD Interactive,ExplorationSurvivalIndie,Single Player,FJRD Interactive,06/14/20,"Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i7-4770 or AMD Ryzen 5 1600 or equivalent,,NVIDIA GeForce GTX 970 or AMD R9 290X,20 GB available space,,,PlatformWindowsWindows,
TrackmaniaFree,Trackmania,Free,Ubisoft Nadeo,Racing,Multiplayer,Ubisoft,07/01/20,Windows 10 (64 bit only),"Intel Core i5-4690K, AMD Ryzen5 1500X",,NVIDIA GeForce GTX 970 or AMD Radeon RX 480,2GB available hard drive space,63%,Fair,PlatformWindowsWindows,74
"South Park™: The Fractured But Whole™ Standard Edition₹2,999",South Park™: The Fractured But Whole™,"₹2,999",Ubisoft San Francisco,Turn-BasedRPGComedy,Controller SupportSingle Player,Ubisoft,10/16/17,"Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E4400 @ 2.0 GHz or better / AMD Athlon™ X2 4400+ @ 2.3 GHz or better,,nVidia GeForce® 8800GT or AMD Radeon™ HD3870) / 512MB VRAM with Shader Model 3.0 or higher - See supported List*,4GB or more,80%,Strong,PlatformWindowsWindows,82
"The Witcher 3: Wild Hunt - Game of the Year Edition₹1,413",The Witcher 3: Wild Hunt - Game of the Year Edition,"₹1,413",CD PROJEKT RED,RPGOpen WorldAdventure,,CD PROJEKT S.A.,05/14/20,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",Intel CPU Core i7 3770 3.4 GHz / AMD CPU AMD FX-8350 4 GHz,,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,8 GB,,,PlatformWindowsWindows,
Dice Legacy₹529,Dice Legacy,₹529,DESTINYbit,City BuilderStrategyIndie,Single Player,Ravenscourt,09/09/21,Windows 10 64bit,Intel Core i5-8600K / AMD Ryzen 1300X,,Nvidia GTX 1060 6GB / AMD Radeon RX 580 8GB,2 GB,,,PlatformWindowsWindows,
Drone Racing League®₹239,Drone Racing League Simulator®,₹239,The Drone Racing League,SimulationRacing,MultiplayerSingle Player,The Drone Racing League,08/04/21,Windows 10,i7 or better,,Nvidia GTX 1080 or better,16GB RAM,,,Windows,
The Plane Effect₹459,The Plane Effect,₹459,Innovina/StudioKiku,PuzzleAdventure,Single PlayerController Support,PQube Limited,09/23/21,Windows 10 - 64 bit,Intel Core i5-2500K 3.3GHz / AMD FX-8150 3.6GHz or equivalent,,NVIDIA GTX 1080 or equivalent video card with a dedicated memory of 2GB or higher VRAM,8GB RAM,,,PlatformWindowsWindows,
The Chameleon₹239,The Chameleon,₹239,Merlino Games,ActionStealthIndie,Single PlayerController Support,Merlino Games,07/13/21,Windows 10,Core i7 8700K,,Nvidia GTX 580 or AMD HD 7870,8 GB,,,PlatformWindowsWindows,
Trials of Fire₹529,Trials of Fire,₹529,Whatboy Games,Rogue-LiteStrategy,Single PlayerController Support,Whatboy Games,06/09/21,Requires a 64-bit processor and operating system,Core:i5 2.8 Ghz,,Nvidia GTX 660 or AMD Radeon HD 7870 equivalent DX11 GPU,4 GB RAM,92%,Strong,Windows,80
Beasts of Maravilla Island₹239,Beasts of Maravilla Island,₹239,Banana Bird Studios,CasualAdventureIndie,Single PlayerController Support,Whitethorn Games,06/12/21,Windows 8/10 (64-bit OS required),"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",,"NVIDIA GTX 660, Radeon R9-270",,,,PlatformWindowsWindows,
Oddworld: Soulstorm Enhanced Edition₹939,Oddworld: Soulstorm Enhanced Edition,₹939,"Oddworld Inhabitants, Inc.",ActionPuzzleer,Single Player,"Oddworld Inhabitants, Inc.",04/06/21,Windows 10 64 Bit,Intel Quad Core 2.3Ghz CPU,,nVidia GTX 970 or equivalent,16GB RAM,45%,Fair,PlatformWindowsWindows,71
NecroLand: Undead Corps₹239,NecroLand: Undead Corps,₹239,JANUS LABS,Action,Co-opMultiplayerCompetitiveSingle Player,"Nicalis, Inc.",06/30/21,Windows  7 / 8 / 10,3 GHz Quad Core,,"Radeon HD 7950 or above, Nvidia GTX 670 or above",500 MB,,,PlatformWindowsWindowsMac OSMac OS,
Discovery Tour: Viking Age₹999,Discovery Tour: Viking Age,₹999,Ubisoft Montreal,ExplorationOpen World,Single Player,Ubisoft,10/19/21,DirectX 12,Windows 10 (64-bit only),,AMD RX 570 - 8GB / GeForce GTX 1060 - 6GB,50 GB HDD (SSD Recommended),,,PlatformWindowsWindows,
Cardpocalypse Standard Edition₹968,Cardpocalypse,₹968,Gambrinous,IndieRPGCard Game,Single Player,Versus Evil,09/19/19,TBD,TBD,4 GB RAM,TBD,,,,PlatformWindowsWindows,
Overcooked₹521,Overcooked,₹521,Ghost Town Games Ltd.,ActionIndieSimulation,Controller SupportCo-opSingle Player,team17,08/07/18,TBD,TBD,2 GB RAM,DirectX Version 11 & Direct X Compatible Sound Card,GeForce 8800 GT / AMD HD 6850 / Intel HD Graphics 4400 or above,76%,Strong,PlatformWindowsWindows,79
Journey to the Savage Planet₹819,Journey to the Savage Planet,₹819,Typhoon Studios,ActionExploration,Single Player,505 Games,01/28/20,TBD,TBD,,"Intel Core i5-750, 2.67 GHz",4 GB,78%,Strong,PlatformWindowsWindows,76
The Messenger₹521,The Messenger,₹521,Sabotage Studios,Actioner,Controller SupportSingle Player,Devolver Digital,11/14/19,TBD,TBD,2 GB RAM,Onboard soundcard or better,Intel HD Graphics 4400,90%,Mighty,PlatformWindowsWindows,86
Celeste₹595,Celeste,₹595,Matt Makes Games,ActionIndieer,Controller SupportSingle Player,Matt Makes Games,01/05/18,TBD,TBD,2 GB RAM,1300 MB available space,Intel HD 4000,100%,Mighty,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,92
Beyond Blue₹469,Beyond Blue,₹469,E-Line Media,CasualAdventureIndie,Single Player,E-Line Media,06/11/20,TBD,TBD,8 GB RAM,NVIDIA GeForce GTX 730 or AMD R9 270,10 GB available space,47%,Fair,PlatformWindowsWindows,72
Batman Arkham Asylum Game of the Year Edition₹521,Batman™: Arkham Asylum Game of the Year Edition,₹521,Rocksteady Studios,ActionFightingStealth,Single Player,Warner Bros.,03/26/10,TBD,TBD,1GB Ram(XP)/2GB Ram,8GB free space,PCI Express SM3 NVidia 6600/ ATI 1300,,,PlatformWindowsWindows,
Yaga₹745,Yaga,₹745,Breadcrumbs,ActionIndieRPG,Single Player,Versus Evil,11/12/19,TBD,TBD,4 GB RAM,3 GB available space,,25%,Weak,PlatformWindowsWindows,64
Minit₹372,Minit,₹372,"JW, Kitty, Jukio, and Dom",IndiePuzzleAdventure,Controller SupportSingle Player,Devolver Digital,04/03/18,TBD,TBD,1 GB RAM,TBD,GeForce 7600 GS (256 MB) / Radeon HD 2400 PRO (256 MB),83%,Strong,PlatformWindowsWindowsMac OSMac OSMac OSMac OS,80
Ashwalkers₹279,Ashwalkers,₹279,DeveloperNameless XIII,IndieSurvivalAdventure,Single Player,PublisherDear Villagers,Release Date04/15/21,Windows 7+,,2GB,,8,30%,Weak,PlatformWindowsWindows,64
"Expeditions: Rome₹1,499",Expeditions: Rome,"₹1,499",DeveloperLogic Artists,RPGStrategy,Single Player,PublisherTHQ Nordic,Release Date01/20/22,"Windows 7, 10 (64-bit)",,8 GB,30 GB,11,74%,Strong,PlatformWindowsWindows,81
Chorus₹899,Chorus,₹899,DeveloperDeep Silver Fishlabs,ActionAdventure,Single Player,PublisherDeep Silver,Release Date12/03/21,Windows 10,,8,Intel Iris Xe Graphics | GeForce GTX 750 | Radeon HD 7770,36,,,PlatformWindowsWindows,
Pupperazzi₹469,Pupperazzi,₹469,DeveloperSundae Month,CasualComedyFirst Person,Single Player,PublisherKitfox Games,Release Date01/20/22,Windows 7 or better,,4 GB RAM,Intel HD Graphics,1 GB,54%,Fair,PlatformWindowsWindowsMac OSMac OS,71
Warshmallows₹239,Warshmallows,₹239,DeveloperYou Run Ltd,ShooterIndie,Multiplayer,PublisherBonus Stage Publishing,Release Date01/06/22,Windows 7,,2 GB RAM,GeForce GTX 750 Ti,1 GB available space,,,Windows,
Wytchwood₹469,Wytchwood,₹469,DeveloperAlientrap,SimulationAdventure,,PublisherWhitethorn Games,Release Date12/09/21,Windows 10,,2 GB RAM,"Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MB",1 GB available space,81%,Strong,PlatformWindowsWindows,80
Rogue Invader₹349,Rogue Invader,₹349,DeveloperSquishy Games,ActionRogue-LiteIndie,Single Player,PublisherSquishy Games,Release Date03/18/22,64-bit Windows 7/8.1/10,,8 GB RAM,,1.5 GB Compatible Card,,,Windows,
Blast Brigade vs. the Evil Legion of Dr. CreadNEW TO EPIC₹529,Blast Brigade vs. the Evil Legion of Dr. Cread,₹529,DeveloperAllods Team Acrade,ActionAdventurePlatformer,Single Player,PublisherMY.GAMES,Release Date04/16/22,Windows 10,,4 GB,NVIDIA GeForce GTX 950 or AMD Radeon R7 370,10 GB,,,Windows,
Farmer's Dynasty₹709,Farmer's Dynasty,₹709,DeveloperUMEO Studios,SimulationRPGAdventure,Single Player,PublisherToplitz Productions,Release Date01/13/22,"Windows 7, 8, 10",,4 GB RAM,"DirectX 11 compatible GPU, min. 1.5GB dedicated VRAM (AMD Radeon HD 7000 series / NVIDIA GeForce GTX 500 series)",10 GB,,,Windows,
Of Bird And Cage₹459,Of Bird And Cage,₹459,DeveloperCapricia Productions,ActionIndie,Single Player,PublisherAll in! Games,Release Date12/16/21,Windows (64bit) OS,,4 GB RAM,,10 GB,,,PlatformWindowsWindows,
Solar Ash₹949,Solar Ash,₹949,DeveloperHeart Machine,ActionAdventureIndie,Single Player,PublisherAnnapurna Interactive,Release Date12/02/21,Windows 7,,8 GB,"Nvidia GeForce GTX 550 Ti, 1 GB or AMD Radeon R7 360, 2 GB",10 GB,66%,Strong,PlatformWindowsWindows,77
"Ys IX: Monstrum Nox-20%₹1,419₹1,135.20",Ys IX: Monstrum Nox,"₹1,135.20",DeveloperNihon Falcom,ActionRPG,Single Player,"PublisherNIS America, Inc.",Release Date07/06/21,Windows 10/8.1 64-bit,,8 GB RAM,Geforce GTX 650 Ti,10 GB available space,82%,Strong,PlatformWindowsWindows,80
"Partisans 1941₹1,199",Partisans 1941 - Extended Edition,"₹1,199",DeveloperAlter Games,ActionStrategyStealth,Single Player,PublisherDaedalic Entertainment,Release Date01/12/22,Windows 7 SP 1 64bit,,8 GB RAM,NVIDIA GeForce GTX 660 / Radeon HD 7790,10 GB available space,61%,Strong,Windows,75
"Battlefield™ 2042₹2,999",Battlefield™ 2042,"₹2,999",DeveloperDICE,ShooterFirst Person,Multiplayer,PublisherElectronic Arts,Release Date11/19/21,64-bit Windows 10,,8 GB,"AMD Radeon RX 560, Nvidia GeForce GTX 1050 Ti",100 GB,33%,Weak,PlatformWindowsWindows,65
"FINAL FANTASY VII REMAKE INTERGRADE₹4,799",FINAL FANTASY VII REMAKE INTERGRADE,"₹4,799",DeveloperSquare Enix,ActionRPGAdventure,Controller Support,PublisherSquare Enix,Release Date12/16/21,Windows 10 64bit (ver. 2004 or later),,8 GB,GeForce GTX 780 / Radeon RX 480 （3GB VRAM）,100GB or more,93%,Mighty,PlatformWindowsWindows,86
KID A MNESIA EXHIBITIONFree,KID A MNESIA EXHIBITION,Free,Developer[namethemachine] x Arbitrarily Good Productions,ExplorationFirst Person,Single PlayerController Support,PublisherEpic Games Publishing,Release Date11/18/21,Windows 10 (64 Bit),,8 GB,Nvidia GeForce GTX 760 | Equivalent Radeon card,10GB,,,PlatformWindowsWindowsMac OSMac OS,
Nemezis: Mysterious Journey III₹469,Nemezis: Mysterious Journey III,₹469,DeveloperDetalion Games,PuzzleNarrationAdventureFirst Person,Single Player,PublisherDetalion Games,Release Date12/16/21,Windows 7/8/10,,8 GB,2GB / Radeon R9 200 Series or Nvidia GeForce GTX660,12 GB,,,Windows,
Skábma - Snowfall-10%₹529₹476.10,Skábma - Snowfall,₹476.10,DeveloperRed Stage Entertainment,ExplorationAdventure,Single Player,PublisherPID Games,Release Date04/22/22,Windows 10,,8 GB,Requires a 64-bit processor and operating system,12 GB,,,PlatformWindowsWindows,
