game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
"Batman Arkham Knight₹1,341",Batman™ Arkham Knight,"₹1,341",DeveloperRocksteady Studios,ActionFightingStealth,Single PlayerController Support,PublisherWarner Bros.,Release Date06/23/15,"Win 7 SP1, Win 8.1 (64-bit Operating System Required)",,6 GB RAM,45 GB available space,Graphics: NVIDIA GeForce GTX 660 (2 GB Memory Minimum) | AMD Radeon HD 7870 (2 GB Memory Minimum),82%,Mighty,PlatformWindowsWindows,86
ReDrawn - The Painted Tower Collectors Edition₹349,ReDrawn: The Painted Tower Collector's Edition,₹349,DeveloperFriendly Fox Studios,Casual,Single Player,PublisherBig Fish Games,Release Date11/12/21,Windows 7,,1024 MB,,GTX 400 series / Radeon HD 5000 series or better,,,PlatformWindowsWindows,
The Smurfs Mission Vileaf₹829,The Smurfs - Mission Vileaf,₹829,DeveloperOSome Studio,ActionAdventure,Single PlayerCo-op,PublisherMicroids,Release Date03/24/22,Windows® 10 64-bit,,8GB,,GTX 580 or faster,,,Windows,
Expedition Zero₹469,Expedition Zero,₹469,DeveloperEnigmatic Machines,ActionIndieAdventure,Single Player,PublishertinyBuild,Release Date03/24/22,Windows 7,,8 Gb,12 Gb,GTX 670 or higher,,,PlatformWindowsWindows,
Adams Venture Origins₹239,Adam's Venture: Origins,₹239,DeveloperVertigo Games,StealthPuzzleAdventure,Single Player,PublisherSOEDESCO,Release Date01/10/22,"Windows 7, 64-bit",,2 GB RAM,5GB,GTX 745,8%,Weak,PlatformWindowsWindows,55
Undungeon₹529,Undungeon,₹529,DeveloperLaughing Machines,ActionIndieAdventure,Single PlayerController Support,PublishertinyBuild,Release Date11/18/21,7,,8 Gb,10 Gb,GTX 750,,,PlatformWindowsWindows,
Guild Of Ascension₹349,Guild Of Ascension,₹349,DeveloperWhileOne Productions,Rogue-LiteStrategy,Single Player,PublisherPID Games,Release Date09/21/21,Windows 7,,2 GB,,GTX 750 or above,,,PlatformWindowsWindows,
Scarf₹319,SCARF,₹319,DeveloperUprising Studios SL,Action-Adventure,Single Player,PublisherHandyGames,Release Date12/23/21,Windows 10 64bit,,6 GB RAM,12 GB available space,GTX 760 2GB/ Radeon R9 270X 2GB or better,50%,Fair,PlatformWindowsWindows,70
"The Division 2 Standard Edition-85%₹1,499₹224.85",The Division 2,₹224.85,DeveloperUbisoft,ActionRPGShooter,Controller SupportMultiplayer,PublisherUbisoft,Release Date03/15/19,Windows 7/8/10,,8GB,Direct X 11/12,,91%,Strong,PlatformWindowsWindows,83
Zool Redimensioned₹239,Zool Redimensioned,₹239,DeveloperSumo Digital Academy,AdventurePlatformerAction,Controller SupportSingle Player,PublisherSecret Mode,Release Date01/12/22,Windows 10,,8 GB RAM,1 GB available space,Integrated,,,PlatformWindowsWindows,
